,date,tweet,nlikes,Bank,Subjectivity,Polarity,Analysis
384,2022-11-09 11:26:45,look my side oo i made  tweets with sportingking yesterday you can confirm from my page   zenith bank,0,Zenith Bank,0.0,0.0,Neutral
385,2022-11-09 11:26:34,joseph peter zenith bank thank you boss,0,Zenith Bank,0.0,0.0,Neutral
387,2022-11-09 11:26:22,it been  hours now i cant make use of my mobile app,0,Zenith Bank,0.0,0.0,Neutral
389,2022-11-09 11:26:19,zenith bank,0,Zenith Bank,0.0,0.0,Neutral
390,2022-11-09 11:26:17,sportingking  odogwu  the game changer the one and only  the king of sporting himself i hail you  sportingking  sportingking lord sportingking  zenith bank,0,Zenith Bank,0.7,-0.2,Negative
391,2022-11-09 11:26:16,sportingking     zenith bank  blessing flavour okeke,0,Zenith Bank,0.0,0.0,Neutral
392,2022-11-09 11:26:04,all i can say is let god keep you alive for us because you are a prayer point of so many people helper       zenith bank dickson dominic,0,Zenith Bank,0.45,0.3,Positive
393,2022-11-09 11:25:55,zenith bank,0,Zenith Bank,0.0,0.0,Neutral
396,2022-11-09 11:25:44,what is your problem this morning,0,Zenith Bank,0.0,0.0,Neutral
399,2022-11-09 11:25:29,sportingking      zenith bank,0,Zenith Bank,0.0,0.0,Neutral
400,2022-11-09 11:25:26,your fucking network,0,Zenith Bank,0.8,-0.6,Negative
401,2022-11-09 11:25:22,e never too late for me to join the race  zenith bank still check this  odds out,0,Zenith Bank,0.6,-0.3,Negative
402,2022-11-09 11:25:20,boss pls remember me i need ur help     zenith bank,0,Zenith Bank,0.0,0.0,Neutral
405,2022-11-09 11:24:58,sporting king    zenith bank  thanks boss more wins,0,Zenith Bank,0.3,0.3333333333333333,Positive
406,2022-11-09 11:24:57,sporting king  sporting king sporting king sporting king  ibezim ebuka david zenith bank,0,Zenith Bank,0.0,0.0,Neutral
407,2022-11-09 11:24:56,sportingking  zenith bank,0,Zenith Bank,0.0,0.0,Neutral
408,2022-11-09 11:24:51,sportingking      zenith bank  thanks,0,Zenith Bank,0.2,0.2,Positive
411,2022-11-09 11:24:40,make sure u sue is them,0,Zenith Bank,0.8888888888888888,0.5,Positive
414,2022-11-09 11:24:18,i cant believe both mobile apps arent working  and  you people want me to wash plates abi,1,Zenith Bank,0.0,0.0,Neutral
415,2022-11-09 11:24:17,sporting king   zenith bank thanks boss,0,Zenith Bank,0.2,0.2,Positive
416,2022-11-09 11:24:11,felix peter   zenith bank,0,Zenith Bank,0.0,0.0,Neutral
418,2022-11-09 11:23:36,if i die today yall should hold zenith bank responsible,0,Zenith Bank,0.55,0.2,Positive
420,2022-11-09 11:23:29,sportingking this help will go a long way more blessings    ayodele agoro  zenith bank,0,Zenith Bank,0.45,0.225,Positive
422,2022-11-09 11:23:21,i dont know why im still using zenith bank,0,Zenith Bank,0.0,0.0,Neutral
424,2022-11-09 11:23:05,sportingking  zenith bank thats all,0,Zenith Bank,0.0,0.0,Neutral
425,2022-11-09 11:22:54,sportingking    zenith bank pls boss show me mercy my father is undergoing operation today need all the money i can get  pls make grace locate me,0,Zenith Bank,0.0,0.0,Neutral
426,2022-11-09 11:22:49,sportingking you do well more wins       okonye nnamdi zenith bank,0,Zenith Bank,0.35,0.4,Positive
428,2022-11-09 11:22:42,sportingking sportingking sportingking sportingking sportingking sportingking sportingking sportingking  sportingking sportingking sportingking  zenith bank tomorrow is my dad birthday and i have nothing to give and i wish to surprise for the first time in a while,0,Zenith Bank,0.3333333333333333,0.25,Positive
429,2022-11-09 11:22:35,zenith bank,1,Zenith Bank,0.0,0.0,Neutral
430,2022-11-09 11:22:33,if u think zenith bank is wicked then u really needs to try uba,10,Zenith Bank,0.2,0.2,Positive
431,2022-11-09 11:22:31,spotingking help my carrier o   zenith bank,0,Zenith Bank,0.0,0.0,Neutral
432,2022-11-09 11:22:22,zenith bank,0,Zenith Bank,0.0,0.0,Neutral
433,2022-11-09 11:22:22,i pray and hope i will fall into the category of one of the winners    zenith bank,0,Zenith Bank,0.0,0.0,Neutral
434,2022-11-09 11:22:19,zenithbank,0,Zenith Bank,0.0,0.0,Neutral
438,2022-11-09 11:21:48,sportingking  bank name zenith bank account number victor,2,Zenith Bank,0.0,0.0,Neutral
439,2022-11-09 11:21:37,zenith bank,0,Zenith Bank,0.0,0.0,Neutral
441,2022-11-09 11:21:20,zenith bank,0,Zenith Bank,0.0,0.0,Neutral
442,2022-11-09 11:21:10,sportingking please i really need this financial lift at the moment it will go a long way god bless   ayodele agoro zenith bank,0,Zenith Bank,0.20000000000000004,0.05000000000000001,Positive
443,2022-11-09 11:21:07,sportingking  zenith bank,0,Zenith Bank,0.0,0.0,Neutral
444,2022-11-09 11:21:06,zenith bank card pin  shey you dey whyn me ni,0,Zenith Bank,0.0,0.0,Neutral
445,2022-11-09 11:21:06,sportingking  zenith bank,0,Zenith Bank,0.0,0.0,Neutral
446,2022-11-09 11:21:05,egbon nla    if only god uses your heart to make mine happy today i will be so gracious   zenith bank,0,Zenith Bank,1.0,0.4,Positive
447,2022-11-09 11:21:04,sportingking   zenith bank francis ogbidi,0,Zenith Bank,0.0,0.0,Neutral
448,2022-11-09 11:20:56,sporting king you know go fall insha allah  zenith bank,0,Zenith Bank,0.0,0.0,Neutral
449,2022-11-09 11:20:56,zenith bank,0,Zenith Bank,0.0,0.0,Neutral
451,2022-11-09 11:20:17,still remain the best,0,Zenith Bank,0.3,1.0,Positive
452,2022-11-09 11:20:10,i didnt see this despite i have your notification on  it better late than never       zenith bank,0,Zenith Bank,0.55,0.1,Positive
455,2022-11-09 11:19:34,sportingking  zenith bank,0,Zenith Bank,0.0,0.0,Neutral
456,2022-11-09 11:19:31,sportingking   lucy luka zenith bank,0,Zenith Bank,0.0,0.0,Neutral
457,2022-11-09 11:19:28,sportingking  zenith bank,1,Zenith Bank,0.0,0.0,Neutral
458,2022-11-09 11:19:23,sporting      sporting king   boss pick me for the first time              zenith bank       asoore taiwo,0,Zenith Bank,0.3333333333333333,0.25,Positive
459,2022-11-09 11:19:16,zenith bank,0,Zenith Bank,0.0,0.0,Neutral
461,2022-11-09 11:19:11,as at the time of this tweet ive tried using bank app ussd and now i even tried using zenith bot wtf is wrong with  ive not had my breakfast,2,Zenith Bank,0.95,-0.5,Negative
462,2022-11-09 11:19:05,sportingking   zenith bank,0,Zenith Bank,0.0,0.0,Neutral
463,2022-11-09 11:18:51,zenith bank,0,Zenith Bank,0.0,0.0,Neutral
465,2022-11-09 11:18:41,zenith bank,0,Zenith Bank,0.0,0.0,Neutral
466,2022-11-09 11:18:36,zenith bank why am i not able to make transfers you show my transfers as successful but i wasnt debited what wrong somebody rectify my problem,0,Zenith Bank,0.8250000000000001,0.0,Neutral
467,2022-11-09 11:18:35,if you know the way i need this money sporting king you no go skip me   zenith bank sir,0,Zenith Bank,0.0,0.0,Neutral
468,2022-11-09 11:18:27,sporting king   king of the street  agba punter boss abeg no pass me by  as god run am for you e go run am for me  sporting king  sporting king  sporting king  sporting king   zenith bank,0,Zenith Bank,0.0,0.0,Neutral
469,2022-11-09 11:18:27,zenith bank ogundare stephen,0,Zenith Bank,0.0,0.0,Neutral
470,2022-11-09 11:18:18,i made transaction this morning to my palmpay account and moniepoint but the transaction isnt going at all what bullshit is that,1,Zenith Bank,0.0,0.0,Neutral
471,2022-11-09 11:18:17,zenith bank,0,Zenith Bank,0.0,0.0,Neutral
472,2022-11-09 11:18:06,just allow people eat naa wtf is wrong with your service and whatsapp customer care,1,Zenith Bank,0.95,-0.5,Negative
473,2022-11-09 11:18:03,sportingking  zenith bank,0,Zenith Bank,0.0,0.0,Neutral
474,2022-11-09 11:17:47,sporty king please help me out with any amount i will appreciate you  zenith bank,0,Zenith Bank,0.0,0.0,Neutral
475,2022-11-09 11:17:33,zenith bank,0,Zenith Bank,0.0,0.0,Neutral
477,2022-11-09 11:17:23,im in serious need of ur assistant i borrowed money to buried my mum last year ive been trying my best to pay back is remaining n  pls help me out zenith bank  bulus samson,0,Zenith Bank,0.2583333333333333,0.16666666666666669,Positive
478,2022-11-09 11:17:16,sportingking  omoragbon eddy  zenith bank,0,Zenith Bank,0.0,0.0,Neutral
479,2022-11-09 11:17:16,thought am the only one have this problem,5,Zenith Bank,1.0,0.0,Neutral
481,2022-11-09 11:16:50,zenith bank your wickedness in my life ends today,1403,Zenith Bank,0.0,0.0,Neutral
485,2022-11-09 11:15:56,good morning mayor its been a while dat av been sending msgs to u but u v not replied plssssssss its ur help dat i need no amount is small plssss god ll continue to bless u abundantly dis is my aza  zenith bank oluwaseun bolarinwa,0,Zenith Bank,0.65,0.3499999999999999,Positive
486,2022-11-09 11:15:54,happiness chukwudi   zenith bank im a student want to use it get my textbook and handouts,0,Zenith Bank,0.2,0.7,Positive
487,2022-11-09 11:15:51,zenith bank favour chioma,0,Zenith Bank,0.0,0.0,Neutral
488,2022-11-09 11:15:01,you guy are shameless and dont know the rule and regulations of bamking you hold sum of fund in my account without my consent i give you to cob to release the fund,0,Zenith Bank,0.0,0.0,Neutral
489,2022-11-09 11:13:26,miller kingsley zenith bank,0,Zenith Bank,0.0,0.0,Neutral
490,2022-11-09 11:13:05,zeith bank oluwaseun,0,Zenith Bank,0.0,0.0,Neutral
491,2022-11-09 11:12:53,done come with another pattern o,1,Zenith Bank,0.0,0.0,Neutral
493,2022-11-09 11:12:04,what is your problem someone cant even use their app anymore everytime i try to log into my app i have to first say a prayer that it should allow me do transaction you guys should better do something about this,1,Zenith Bank,0.41666666666666663,0.375,Positive
494,2022-11-09 11:11:27,umeh chiamaka blessing zenith bank,0,Zenith Bank,0.0,0.0,Neutral
495,2022-11-09 11:11:24,zenith bank aluko funmilayo mercy thank you in advance,1,Zenith Bank,0.0,0.0,Neutral
496,2022-11-09 11:10:31,zenith bankthanks,0,Zenith Bank,0.0,0.0,Neutral
497,2022-11-09 11:10:02,zenith bankjanet john,0,Zenith Bank,0.0,0.0,Neutral
498,2022-11-09 11:09:50,zenithbank ill curse you,2,Zenith Bank,1.0,-0.5,Negative
499,2022-11-09 11:09:42,zenith bank no food to eat today and my mom is sick going to hospital like this lab first maybe they will admit her,0,Zenith Bank,0.5952380952380952,-0.23214285714285715,Negative
500,2022-11-09 11:09:12,see fake zenith bank accounts under your tweet,0,Zenith Bank,1.0,-0.5,Negative
501,2022-11-09 11:08:01,you dm is filled with my messages please   zenith bank  help me clear this fees  settle my debt,0,Zenith Bank,0.6416666666666666,0.25,Positive
502,2022-11-09 11:07:59,zenithbank please boss man i take god ab,0,Zenith Bank,0.0,0.0,Neutral
503,2022-11-09 11:07:50,boss please i have been here for long  zenith bank     agugu,0,Zenith Bank,0.4,-0.05,Negative
504,2022-11-09 11:07:42,i need it to settle my rent which is due this month    zenith bank,0,Zenith Bank,0.375,-0.125,Negative
505,2022-11-09 11:07:33,always zenith bank ffs,0,Zenith Bank,0.0,0.0,Neutral
506,2022-11-09 11:07:33,joseph olorunfemi  zenith bank  thank you,0,Zenith Bank,0.0,0.0,Neutral
3,2022-11-09 13:17:35,i totally agree to what you posted tony but dont think becoming successful all my hold transactions that have been promised by ur bank that will be refunded that have not been refunded its that where u became successful i dont like begging or posting acct numbers to piple pls,0,UBA,0.875,0.4875,Positive
6,2022-11-09 13:17:17,sportingking sportingking sportingking sportingking   uba   thanks god bless you sir  i pray im among the lucky winners,0,UBA,0.5166666666666667,0.26666666666666666,Positive
7,2022-11-09 13:17:02,the experiences of i and other uba customers indicate youre not learning from your mistakes youre not bouncing back to offer good service and products let alone become amazing bank practise what you preach period,0,UBA,0.46875,0.29375,Positive
8,2022-11-09 13:16:45,abeg in the name of god pick me  am olagunju taiwo joshua ac  bank uba,0,UBA,0.0,0.0,Neutral
9,2022-11-09 13:16:44,this broad daylight robbery tho i just made simple transaction boom  just vanish from my account is it crime to be nigerian,0,UBA,0.3348214285714286,0.03125,Positive
10,2022-11-09 13:16:05,you guys dont want to reply my dm after about days of waiting for my refund for more than  working days,0,UBA,0.5,0.5,Positive
16,2022-11-09 13:12:54,uba  god pls let me be lucky today,0,UBA,0.8333333333333334,0.3333333333333333,Positive
17,2022-11-09 13:12:41,account number  account name afisia igoni ebirien bank nameubasavings  thank you sir,0,UBA,0.0,0.0,Neutral
18,2022-11-09 13:12:41,ive been using  for the past  years now and ive never had a reason to complain about their services,0,UBA,0.25,-0.25,Negative
19,2022-11-09 13:12:33,this my account  uba ifeanyi destiny uchechukwu,0,UBA,0.0,0.0,Neutral
22,2022-11-09 13:11:14,i did a pos transaction of  naira which was declined on monday and i was debited   stephen michael,0,UBA,0.0,0.0,Neutral
23,2022-11-09 13:11:06,sportingking  uba thank you oba sporting,0,UBA,0.0,0.0,Neutral
24,2022-11-09 13:10:37,e be like you wan change go uba,0,UBA,0.15000000000000002,-0.2,Negative
26,2022-11-09 13:09:52,they reminding those who were cancelling him now uba at end of the day ngumlunngu,0,UBA,0.0,0.0,Neutral
29,2022-11-09 13:09:37,i have been following u and also dropping my account details here every time u ask people to drop theirs but i have never for once been selected pls look at my direction i bed u in gods name  uba akwe mercy,0,UBA,0.1,0.0,Neutral
31,2022-11-09 13:09:05,uba said no so yeah,0,UBA,0.0,0.0,Neutral
34,2022-11-09 13:08:02,title  solutions development specialist at united bank for africa uba kenya company  united bank for africa uba kenya location  nairobi salary  ksh confidential posted,1,UBA,0.0,0.0,Neutral
39,2022-11-09 13:07:27,done  uba akande god bless you,0,UBA,0.0,0.0,Neutral
41,2022-11-09 13:05:58,sportingking more wins for you and the house boss  uba solomon paul,0,UBA,0.35,0.4,Positive
42,2022-11-09 13:05:49,collins uba  goodness n mercy shall follow me,0,UBA,0.0,0.0,Neutral
48,2022-11-09 13:04:11,uba  abeggg i really need it and i will appreciate you,0,UBA,0.2,0.2,Positive
51,2022-11-09 13:03:47,damn am late again i will drop my sporty bet id with faithuba  edun you wont lack money,0,UBA,0.6,-0.3,Negative
53,2022-11-09 13:02:48,any veil that is making your not to see me i remove it in jesus name bros i beg naw  uba bank amos isaac,0,UBA,0.0,0.0,Neutral
56,2022-11-09 13:00:32,i cant be using the bank again the pain they cause me is much,0,UBA,0.2,0.2,Positive
57,2022-11-09 13:00:14,hello  please note that the above response did not emanate from uba kindly be informed that response has been provided via dm thank you,0,UBA,0.5,0.3,Positive
60,2022-11-09 12:58:35,congratulations,1,UBA,0.0,0.0,Neutral
61,2022-11-09 12:58:32,what i know is that scammers are working inside the bank now because i dont know how they have access to someone account they transfer from my account and the recipient name and the account name show and uba couldnt do anything or investigate it,0,UBA,0.0,0.0,Neutral
65,2022-11-09 12:56:50,sportingking sportingking sportingking  i saw it late boss make e no passe by  abeg   uba fsodijo,0,UBA,0.6,-0.3,Negative
71,2022-11-09 12:56:17,its knowing what you should know wednesday  do you know we are mandated by the federal government of nigeria to charge stamp duty on transactions above n  turn on our post notifications to learn more amazing facts,6,UBA,0.5,0.3666666666666667,Positive
74,2022-11-09 12:55:43,dey show me shege bcos of form a,1,UBA,0.0,0.0,Neutral
78,2022-11-09 12:55:31,boss i for use ham refill my gas so that i can cook and eat because i never chop since morning  uba,0,UBA,0.0,0.0,Neutral
81,2022-11-09 12:54:35,they deducted k from my account when i contacted them they said is for accumulated sms charges cable and recharge subscriptions for k,0,UBA,0.0,0.0,Neutral
86,2022-11-09 12:53:24,i no know too i just saw the agent post,0,UBA,0.0,0.0,Neutral
87,2022-11-09 12:53:07,how pls,0,UBA,0.0,0.0,Neutral
89,2022-11-09 12:53:03,congrats buddy,0,UBA,0.0,0.0,Neutral
90,2022-11-09 12:52:12,that agent dey on point,0,UBA,0.0,0.0,Neutral
93,2022-11-09 12:51:29,uba   olorunfemi timothy  i hope its my turn to be credited jah bless,0,UBA,0.0,0.0,Neutral
103,2022-11-09 12:49:23,igwebuikeh emmanuel   uba anything is appreciated,0,UBA,0.1,0.2,Positive
104,2022-11-09 12:48:52,uba you people should return my money please since you guys dont want to reply my text after  days of complaining and about  working days passed,0,UBA,0.0,0.0,Neutral
105,2022-11-09 12:48:51,congratulations,2,UBA,0.0,0.0,Neutral
106,2022-11-09 12:48:45,i didnt benefits from the giveaway you just did hope this one will reach me   uba ugwueke francis,0,UBA,0.0,0.0,Neutral
107,2022-11-09 12:48:37,am not a student  uba,0,UBA,0.0,0.0,Neutral
108,2022-11-09 12:48:26,congratulations,0,UBA,0.0,0.0,Neutral
111,2022-11-09 12:47:17,uba adedoyin god will bless you,0,UBA,0.0,0.0,Neutral
112,2022-11-09 12:47:15,uba   seat open,1,UBA,0.5,0.0,Neutral
113,2022-11-09 12:47:11,zenith and uba wahala bank,0,UBA,0.0,0.0,Neutral
114,2022-11-09 12:47:09,i witnessed fire out break in balogun lagos in the few fire trucks from lagos state came blowing only siren with no water it was union bank and uba fire trucks with better ladder and water that assisted in preventing the fire from spreading,0,UBA,0.5333333333333333,0.09999999999999999,Positive
118,2022-11-09 12:45:35,guys we been warning yall even though we also didnt watch that video uba hell to the no dont watch a magogo fingering herself haa no,0,UBA,0.0,0.0,Neutral
119,2022-11-09 12:45:18,dear uba is it until i loose my admission and access to my student portal that you will debit my form a since th october you claimed to have approved my application and still you havent debit me ref af hope its not double standard youre practicing,0,UBA,0.08974358974358974,-0.025641025641025644,Negative
120,2022-11-09 12:44:21,account name olomtomulafe publishers account number  uba thanks eagerly expecting the bank alert,0,UBA,0.2,0.2,Positive
121,2022-11-09 12:44:21,pick me    uba,0,UBA,0.0,0.0,Neutral
124,2022-11-09 12:43:24,climate change is a hoax and scam led by a brainwashed child made into a money pit by her parents and a bunch of pretend scientists  manipulating computer models to make it look real supported by the uba weathy who just want power amp more money amp idiotic polititions,0,UBA,0.5444444444444444,0.011111111111111108,Positive
128,2022-11-09 12:42:40,uba just trying again,0,UBA,0.0,0.0,Neutral
129,2022-11-09 12:42:38,uba owolabi more winning the king himself,0,UBA,0.625,0.5,Positive
130,2022-11-09 12:42:07,congrats sir pls bless me with k make i eat  uba bank,0,UBA,0.0,0.0,Neutral
132,2022-11-09 12:41:58,pls baba i never chop giveaway before for my life ooo   uba  miracle okechukwu   god bless you sir,0,UBA,0.0,0.0,Neutral
134,2022-11-09 12:41:47,sportingking  uba thanks for the hooooge alert boss,0,UBA,0.2,0.2,Positive
135,2022-11-09 12:41:00,u bring hope to we bet stakers who never win hooooge money  uba,0,UBA,0.4,-0.4,Negative
138,2022-11-09 12:40:53,sir its me again uba bankihunenye joshua c please sir a last second miracle i still believe,0,UBA,0.03333333333333333,0.0,Neutral
141,2022-11-09 12:40:01,the day i will have your time is coming    let me just finish my tests,0,UBA,0.0,0.0,Neutral
156,2022-11-09 12:33:40,noted,0,UBA,0.0,0.0,Neutral
159,2022-11-09 12:33:26,ohenhen roland uba sir please look my side this time i need money to complete my house rent,0,UBA,0.4,0.1,Positive
160,2022-11-09 12:33:14,uba redeems usdm year eurobond,0,UBA,0.0,0.0,Neutral
161,2022-11-09 12:33:08,i believe it my turn today  uba adegoke,0,UBA,0.0,0.0,Neutral
162,2022-11-09 12:33:05,toyin tope  uba,0,UBA,0.0,0.0,Neutral
163,2022-11-09 12:33:03,uba i believe you,0,UBA,0.0,0.0,Neutral
164,2022-11-09 12:32:25,hello  please be informed that the above message did not emanate from uba we strongly advise that you desist from all forms of communication with this impostor to avoid being a victim of fraud kindly be informed that response has been provided via dm thank you,15,UBA,0.4458333333333333,0.23958333333333331,Positive
168,2022-11-09 12:31:51,boss i dine dey follow you for months and you have not look my side pls let today be my lucky day sir  uba akanbi ismail,0,UBA,0.8333333333333334,0.3333333333333333,Positive
170,2022-11-09 12:31:02,pick me pick me pick me richkid pick me for your giveaway   uba,0,UBA,0.0,0.0,Neutral
171,2022-11-09 12:30:58,uba fowowe  help me for my mums drugs,0,UBA,0.0,0.0,Neutral
174,2022-11-09 12:30:22,scammers,0,UBA,0.0,0.0,Neutral
175,2022-11-09 12:30:12,return my money now,0,UBA,0.0,0.0,Neutral
176,2022-11-09 12:30:01,buy foodstuffs baby school fee and send some money to my mom pls make today my lucky day sir  uba akanbi ismail,0,UBA,0.8333333333333334,0.3333333333333333,Positive
177,2022-11-09 12:29:46,still here again sir   i am a student and in my final year and i need money to print and bind my project sir    uba ibrahim iliasu muhammed,1,UBA,1.0,0.0,Neutral
178,2022-11-09 12:29:07,pick me pick me pick me         uba,0,UBA,0.0,0.0,Neutral
180,2022-11-09 12:28:51,uba partners mfs africa on seamless digital payments and remittances,0,UBA,0.05,0.05,Positive
181,2022-11-09 12:28:45,access the funds you need to meet urgent financial challenges and pay back later  talk to us today to apply for a uba salary loan  visit any uba branch to get started or call  tollfree for more information,2,UBA,0.125,0.125,Positive
184,2022-11-09 12:28:24,please consider me even if it once khadija aliyu abubakar  uba bank,0,UBA,0.0,0.0,Neutral
185,2022-11-09 12:27:59,everybody must go to qatar,0,UBA,0.0,0.0,Neutral
187,2022-11-09 12:27:38,uba bank account number,0,UBA,0.0,0.0,Neutral
188,2022-11-09 12:27:12,well done boss nah you de reign  uba,0,UBA,0.0,0.0,Neutral
193,2022-11-09 12:26:33,awfuni uba yi main yam i have space,1,UBA,0.3333333333333333,0.16666666666666666,Positive
195,2022-11-09 12:26:05,uba sir any name that show is mine sirmake god be with your sir,0,UBA,0.0,0.0,Neutral
196,2022-11-09 12:25:56,worst take uba ever said is that white people could face racism  at least he isnt transphobic or lesbophobic,0,UBA,0.4666666666666666,-0.43333333333333335,Negative
197,2022-11-09 12:25:40,uba bank hyicent frederick thank you so much,0,UBA,0.2,0.2,Positive
199,2022-11-09 12:25:33,chigbo favour uba  pls for my school fees k,0,UBA,0.0,0.0,Neutral
200,2022-11-09 12:25:32,pls pick me sir  uba bnk,0,UBA,0.0,0.0,Neutral
201,2022-11-09 12:25:12,yoh     motase just saw uba if it goes on zyokhala,0,UBA,0.0,0.0,Neutral
205,2022-11-09 12:24:51,your mobile app has been acting up for almost  months now pls fix it,0,UBA,0.0,0.0,Neutral
206,2022-11-09 12:24:45,uba bank account number,0,UBA,0.0,0.0,Neutral
207,2022-11-09 12:24:19,uba  adeoye iyanuoluwa emmanuel  please sir help my life it is not just easy to kill myself ni if not,0,UBA,0.8333333333333334,0.43333333333333335,Positive
208,2022-11-09 12:24:17,hi   pls dm i have an enquiry,0,UBA,0.0,0.0,Neutral
210,2022-11-09 12:24:08,so una stil dey chop this things too   uba dey enjoy for ja,0,UBA,0.5,0.4,Positive
212,2022-11-09 12:24:04,sir my wife is traveling to visit her sick mom in the village and any amount will help us a lot give her family as our contribution to assist them may god bless you sir    uba akanbi ismail,0,UBA,0.8571428571428571,-0.7142857142857143,Negative
213,2022-11-09 12:24:03,but wait dem dey pay to enter squad,0,UBA,0.0,0.0,Neutral
214,2022-11-09 12:23:57,i have started suspecting that you guys deliberately hold my money how on earth can you keep my money with you for six weeks that all i got from my merchant i hope as a reputed bank as youre youre supposed to review all declined transac,0,UBA,0.0,0.0,Neutral
216,2022-11-09 12:23:29,uba thanks and god bless u,0,UBA,0.2,0.2,Positive
219,2022-11-09 12:23:18,abeg show me love too anything for lunch just returning back from class and i have nothing to eat no money sef even if nah     uba fakorede victor adewale,0,UBA,0.3,0.25,Positive
222,2022-11-09 12:23:07,uba appoints new group managing director and executive board,0,UBA,0.45454545454545453,0.13636363636363635,Positive
224,2022-11-09 12:22:45,omo i have dropped my account number here multiple times but still not noticed     uba,0,UBA,0.0,0.0,Neutral
225,2022-11-09 12:22:42,ubai don dropbe like u be pa to him,1,UBA,0.0,0.0,Neutral
226,2022-11-09 12:22:36,uba alex  please this is for my birthday on the,0,UBA,0.0,0.0,Neutral
227,2022-11-09 12:22:29,sir my wife is traveling to visit her sick mom in the village and this k will help us a lot give her family as our contribution to assist them may god bless you sir    uba akanbi ismail,0,UBA,0.8571428571428571,-0.7142857142857143,Negative
228,2022-11-09 12:22:14,boss l don dey drop details tiresee me fr here nahh  uba,0,UBA,0.0,0.0,Neutral
232,2022-11-09 12:19:55,uba bank pls i will appreciate,0,UBA,0.0,0.0,Neutral
236,2022-11-09 12:18:00,i have sent you the email response from,0,UBA,0.0,0.0,Neutral
240,2022-11-09 12:17:24,uba thank you so much,0,UBA,0.2,0.2,Positive
242,2022-11-09 12:17:09,iluebe stephen angelo uba   that my details sir,1,UBA,0.0,0.0,Neutral
243,2022-11-09 12:17:06,my shop was robbed on friday last week it can go a long way for me please   uba,1,UBA,0.23333333333333334,-0.025,Negative
244,2022-11-09 12:17:02,uba boss abeg bless me  o need money to complete my school fees,0,UBA,0.4,0.1,Positive
245,2022-11-09 12:16:31,uba group is wellpositioned to meet africas banking needs  ceo,0,UBA,0.0,0.0,Neutral
247,2022-11-09 12:15:54,am just so tired of dropping account number here i believe god fit still touch ur hrt make u credit me  uba bank,0,UBA,0.55,0.0,Neutral
251,2022-11-09 12:15:25,boss do small for me make i fill my gas abeg  uba uchenna henry ezike,0,UBA,0.4,-0.25,Negative
252,2022-11-09 12:15:04,sportingking  uba hope i get chosen god bless you sir,0,UBA,0.0,0.0,Neutral
254,2022-11-09 12:14:47,i want use it to buy food stuff and some hand out in school    uba,0,UBA,0.0,0.0,Neutral
259,2022-11-09 12:14:09,god blessings follow you as you reason my matter  uba,0,UBA,0.0,0.0,Neutral
265,2022-11-09 12:13:37,sportingking uba bank account number,0,UBA,0.0,0.0,Neutral
266,2022-11-09 12:13:21,why is uba behaving like thisafter about  days that my money was debited without refundwent to a branch and complain  told me i shld wait for  working days i waited till today my money has not been refunded  group,0,UBA,0.0,0.0,Neutral
267,2022-11-09 12:13:20,uba god bless you congratulations once again,0,UBA,0.0,0.0,Neutral
268,2022-11-09 12:13:15,uba bank thanks blood,0,UBA,0.2,0.2,Positive
269,2022-11-09 12:13:08,god blessings follow you as you reason my matter  uba,0,UBA,0.0,0.0,Neutral
270,2022-11-09 12:13:04,uba god bless you i really hope you choose me,0,UBA,0.2,0.2,Positive
272,2022-11-09 12:12:40,uba abdulazeem ishaq,0,UBA,0.0,0.0,Neutral
275,2022-11-09 12:11:27,uba group committed to development of smes across africa set to transform payment landscape via papss,0,UBA,0.0,0.0,Neutral
276,2022-11-09 12:11:13,uba is the worst bank ever,0,UBA,1.0,-1.0,Negative
277,2022-11-09 12:10:44,uba bank onah emmanuel chisom,0,UBA,0.0,0.0,Neutral
278,2022-11-09 12:10:36,sportingking and my account number  ubathats all,0,UBA,0.0,0.0,Neutral
279,2022-11-09 12:10:23,true shaa but help me good bro aniamalu echezona valentine uba  god bless you sir,0,UBA,0.625,0.5249999999999999,Positive
280,2022-11-09 12:09:27,e fit be me today   uba olorunbe yusuf,3,UBA,0.4,0.4,Positive
282,2022-11-09 12:09:21,baddest punter show me love and mercy with any amount  uba adeosun   nah god dey run am for youhe wont stop higher place everyday by god grace,0,UBA,0.5666666666666668,0.18333333333333335,Positive
287,2022-11-09 12:08:48,this is by your page   i havent given any details out apart from your people so thats not a problem fix your fuck up and stop stressing me,0,UBA,0.6,-0.4,Negative
288,2022-11-09 12:08:31,uba bank peter peace,0,UBA,0.0,0.0,Neutral
292,2022-11-09 12:08:00,gcr affirms uba plcs longterm national and international scale issuer ratings of aang and b respectively outlook stable,0,UBA,0.05,0.0,Neutral
293,2022-11-09 12:07:49,boss hoping you notice me someday  uba  chukwu bethel,2,UBA,0.0,0.0,Neutral
294,2022-11-09 12:07:45,sportingking   uba favor locate me jah guide,0,UBA,0.0,0.0,Neutral
296,2022-11-09 12:07:17,uba bank adeiye eniola yetabeg to settle urgent issue,0,UBA,0.0,0.0,Neutral
297,2022-11-09 12:07:16,i take god beg you please pick me  uba,0,UBA,0.0,0.0,Neutral
299,2022-11-09 12:06:52,im beginning to this uba this zanele sifuba video doesnt exist,0,UBA,0.0,0.0,Neutral
